processo,tese,ementa,relator,data_publicacao,classe_processual
RE 627280 RG,,"Ementa: TRIBUTÁRIO. IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS. BACALHAU (PEIXE SECO E SALGADO). TRATAMENTO. ALCANCE DE ACORDO INTERNACIONAL.



    GENERAL AGREEMENT ON TRADE AND TARIFFS. DECRETO LEGISLATIVO 30/1994 E DECRETO 301.355/1994.



    PROPOSTA PELO RECONHECIMENTO DA REPERCUSSÃO GERAL DA MATÉRIA.



    Tem repercussão geral a discussão sobre a incidência do IPI sobre operações com bacalhau (peixe seco e salgado), à luz do GATT, dos princípios da isonomia, da seletividade e da extrafiscalidade e do conceito de industrialização.",LUÍS ROBERTO BARROSO,2012-02-23,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
RE 1017365 RG,,"EMENTA: CONSTITUCIONAL. ADMINISTRATIVO. POSSE INDÍGENA. TERRA OCUPADA TRADICIONALMENTE POR COMUNIDADE INDÍGENA. POSSIBILIDADES HERMENÊNTICAS DO ARTIGO 231 DA CONSTITUIÇÃO DA REPÚBLICA. TUTELA CONSTITUCIONAL DO DIREITO FUNDAMENTAL INDÍGENA ÀS TERRAS DE OCUPAÇÃO TRADICIONAL. 



    1. É dotada de repercussão geral a questão constitucional referente à definição do estatuto jurídico-constitucional das relações de posse das áreas de tradicional ocupação indígena à luz das regras dispostas no artigo 231 do texto constitucional.



    2. Repercussão geral da questão constitucional reconhecida.",EDSON FACHIN,2019-04-11,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
RE 598468 RG,,"TRIBUTO - IMUNIDADE VERSUS SISTEMA INTEGRADO DE PAGAMENTO DE IMPOSTOS E CONTRIBUIÇÕES DAS MICROEMPRESAS E DAS EMPRESAS DE PEQUENO PORTE - SIMPLES - COEXISTÊNCIA AFASTADA NA ORIGEM - Possui repercussão geral a controvérsia sobre a possibilidade de se reconhecer a contribuinte optante pelo Sistema Integrado de Pagamento de Impostos e Contribuições das Microempresas e das Empresas de Pequeno Porte - SIMPLES as imunidades previstas nos artigos 149, § 2º, inciso I, e 153, § 3º, inciso III, da Constituição Federal.",MARCO AURÉLIO,2009-12-18,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
AI 843753 RG,"A questão da ofensa aos limites objetivos da coisa julgada pela compensação do reajuste de 28,86% sobre a vantagem pecuniária ""Retribuição Adicional Variável - RAV"", paga aos servidores públicos civis e militares, com as reposições salariais das Leis n. 8.622/1993 e n. 8.627/1993 tem natureza infraconstitucional, e a ela se atribuem os efeitos da ausência de repercussão geral, nos termos do precedente fixado no RE n. 584.608, rel. a Ministra Ellen Gracie, DJe 13/03/2009. 	
","RECURSO. Agravo de instrumento convertido em Extraordinário. Inadmissibilidade deste. Reajuste de 28,86% sobre a RAV. Compensação. Reposições salariais posteriores. Leis 8.622/1993 e 8.627/1993. Reajustamento. Tema infraconstitucional. Precedentes. Ausência de repercussão geral. Recurso extraordinário não conhecido. Não apresenta repercussão geral recurso extraordinário que, tendo por objeto a compensação do reajuste de 28,86% sobre a RAV com as reposições salariais posteriores ao reajustamento concedido pelas Leis 8.622/1993 e 8.267/1993, versa sobre tema infraconstitucional.",MINISTRO PRESIDENTE,2011-08-31,REPERCUSSÃO GERAL NO AGRAVO DE INSTRUMENTO
ARE 959620 RG,,"CONSTITUCIONAL. PENAL. REVISTA ÍNTIMA PARA INGRESSO EM ESTABELECIMENTO PRISIONAL. PRÁTICAS E REGRAS VEXATÓRIAS. PRÍNCIPIO DA DIGNIDADE DA PESSOA HUMANA. PRINCÍPIO DA INTIMIDADE, DA HONRA E DA IMAGEM DAS PESSOAS. OFENSA. ILICITUDE DA PROVA. QUESTÃO RELEVANTE DO PONTO DE VISTA SOCIAL E JURÍDICO. REPERCUSSÃO GERAL RECONHECIDA. A adoção de práticas e regras vexatórias com a revista íntima para o ingresso em estabelecimento prisional é tema constitucional digno de submissão à sistemática da repercussão geral.",EDSON FACHIN,2018-06-15,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO COM AGRAVO
AI 844474 RG,"A questão da aplicação do art. 1º do Decreto n. 22.262/1933 (Lei de Usura), que limita a taxa de juros remuneratórios a 12% (doze por cento) ao ano, aos contratos bancários regidos pelo Código de Defesa do Consumidor - CDC tem natureza infraconstitucional, e a ela se atribuem os efeitos da ausência de repercussão geral, nos termos do precedente fixado no RE n. 584.608, rel. a Ministra Ellen Gracie, DJe 13/03/2009.	
","RECURSO. Agravo de instrumento convertido em Extraordinário. Inadmissibilidade deste. Contratos bancários. Art. 1º da Lei de Usura. Aplicação. Taxa de juros. Limite de 12% ao ano. Tema infraconstitucional. Precedentes. Ausência de repercussão geral. Recurso extraordinário não conhecido. Não apresenta repercussão geral recurso extraordinário que, tendo por objeto a aplicação, aos contratos bancários, do art. 1º da Lei de Usura, que limita a taxa de juros a 12% ao ano, versa sobre tema infraconstitucional.",MINISTRO PRESIDENTE,2011-09-01,REPERCUSSÃO GERAL NO AGRAVO DE INSTRUMENTO
RE 842846,"O Estado responde, objetivamente, pelos atos dos tabeliães e registradores oficiais que, no exercício de suas funções, causem dano a terceiros, assentado o dever de regresso contra o responsável, nos casos de dolo ou culpa, sob pena de improbidade administrativa.","EMENTA: DIREITO ADMINISTRATIVO. RECURSO EXTRAORDINÁRIO. REPERCUSSÃO GERAL. DANO MATERIAL. ATOS E OMISSÕES DANOSAS DE NOTÁRIOS E REGISTRADORES. TEMA 777. ATIVIDADE DELEGADA. RESPONSABILIDADE CIVIL DO DELEGATÁRIO E DO ESTADO EM DECORRÊNCIA DE DANOS CAUSADOS A TERCEIROS POR TABELIÃES E OFICIAIS DE REGISTRO NO EXERCÍCIO DE SUAS FUNÇÕES. SERVENTIAS EXTRAJUDICIAIS. ART. 236, §1º, DA CONSTITUIÇÃO DA REPÚBLICA. RESPONSABILIDADE OBJETIVA DO ESTADO PELOS ATOS DE TABELIÃES E REGISTRADORES OFICIAIS QUE, NO EXERCÍCIO DE SUAS FUNÇÕES, CAUSEM DANOS A TERCEIROS, ASSEGURADO O DIREITO DE REGRESSO CONTRA O RESPONSÁVEL NOS CASOS DE DOLO OU CULPA. POSSIBILIDADE. 



    1. Os serviços notariais e de registro são exercidos em caráter privado, por delegação do Poder Público. Tabeliães e registradores oficiais são particulares em colaboração com o poder público que exercem suas atividades in nomine do Estado, com lastro em delegação prescrita expressamente no tecido constitucional (art. 236, CRFB/88).



    2. Os tabeliães e registradores oficiais exercem função munida de fé pública, que destina-se a conferir autenticidade, publicidade, segurança e eficácia às declarações de vontade.



    3. O ingresso na atividade notarial e de registro depende de concurso público e os atos de seus agentes estão sujeitos à fiscalização do Poder Judiciário, consoante expressa determinação constitucional (art. 236, CRFB/88). Por exercerem um feixe de competências estatais, os titulares de serventias extrajudiciais qualificam-se como agentes públicos. 



    4. O Estado responde, objetivamente, pelos atos dos tabeliães e registradores oficiais que, no exercício de suas funções, causem dano a terceiros, assentado o dever de regresso contra o responsável, nos casos de dolo ou culpa, sob pena de improbidade administrativa. Precedentes: RE 209.354 AgR, Rel. Min. Carlos Velloso, Segunda Turma, DJe de 16/4/1999; RE 518.894 AgR, Rel. Min. Ayres Britto, Segunda Turma, DJe de 22/9/2011; RE 551.156 AgR, Rel. Min. Ellen Gracie, Segunda Turma, DJe de 10/3/2009; AI 846.317 AgR, Relª. Minª. Cármen Lúcia, Segunda Turma, DJe de 28/11/13 e RE 788.009 AgR, Rel. Min. Dias Toffoli, Primeira Turma, julgado em 19/08/2014, DJe 13/10/2014.



    5. Os serviços notariais e de registro, mercê de exercidos em caráter privado, por delegação do Poder Público (art. 236, CF/88), não se submetem à disciplina que rege as pessoas jurídicas de direito privado prestadoras de serviços públicos. É que esta alternativa interpretativa, além de inobservar a sistemática da aplicabilidade das normas constitucionais, contraria a literalidade do texto da Carta da República, conforme a dicção do art. 37, § 6º, que se refere a “pessoas jurídicas” prestadoras de serviços públicos, ao passo que notários e tabeliães respondem civilmente enquanto pessoas naturais delegatárias de serviço público, consoante disposto no art. 22 da Lei nº 8.935/94.



    6. A própria constituição determina que “lei regulará as atividades, disciplinará a responsabilidade civil e criminal dos notários, dos oficiais de registro e de seus prepostos, e definirá a fiscalização de seus atos pelo Poder Judiciário” (art. 236, CRFB/88), não competindo a esta Corte realizar uma interpretação analógica e extensiva, a fim de equiparar o regime jurídico da responsabilidade civil de notários e registradores oficiais ao das pessoas jurídicas de direito privado prestadoras de serviços públicos (art. 37, § 6º, CRFB/88).



    7. A responsabilização objetiva depende de expressa previsão normativa e não admite interpretação extensiva ou ampliativa, posto regra excepcional, impassível de presunção. 



    8. A Lei 8.935/94 regulamenta o art. 236 da Constituição Federal e fixa o estatuto dos serviços notariais e de registro, predicando no seu art. 22 que “os notários e oficiais de registro são civilmente responsáveis por todos os prejuízos que causarem a terceiros, por culpa ou dolo, pessoalmente, pelos substitutos que designarem ou escreventes que autorizarem, assegurado o direito de regresso. (Redação dada pela Lei nº 13.286, de 2016)”, o que configura inequívoca responsabilidade civil subjetiva dos notários e oficiais de registro, legalmente assentada. 



    9. O art. 28 da Lei de Registros Públicos (Lei 6.015/1973) contém comando expresso quanto à responsabilidade subjetiva de oficiais de registro, bem como o art. 38 da Lei 9.492/97, que fixa a responsabilidade subjetiva dos Tabeliães de Protesto de Títulos por seus próprios atos e os de seus prepostos.



    10. Deveras, a atividade dos registradores de protesto é análoga à dos notários e demais registradores, inexistindo discrímen que autorize tratamento diferenciado para somente uma determinada atividade da classe notarial. 



    11. Repercussão geral constitucional que assenta a tese objetiva de que: o Estado responde, objetivamente, pelos atos dos tabeliães e registradores oficiais que, no exercício de suas funções, causem dano a terceiros, assentado o dever de regresso contra o responsável, nos casos de dolo ou culpa, sob pena de improbidade administrativa.



    12. In casu, tratando-se de dano causado por registrador oficial no exercício de sua função, incide a responsabilidade objetiva do Estado de Santa Catarina, assentado o dever de regresso contra o responsável, nos casos de dolo ou culpa, sob pena de improbidade administrativa.



    13. Recurso extraordinário CONHECIDO e DESPROVIDO para reconhecer que o Estado responde, objetivamente, pelos atos dos tabeliães e registradores oficiais que, no exercício de suas funções, causem dano a terceiros, assentado o dever de regresso contra o responsável, nos casos de dolo ou culpa, sob pena de improbidade administrativa. Tese: “O Estado responde, objetivamente, pelos atos dos tabeliães e registradores oficiais que, no exercício de suas funções, causem dano a terceiros, assentado o dever de regresso contra o responsável, nos casos de dolo ou culpa, sob pena de improbidade administrativa”.",LUIZ FUX,2019-08-13,RECURSO EXTRAORDINÁRIO
RE 1209429 RG,,"REPÓRTER – EXERCÍCIO PROFISSIONAL – TUMULTO – COBERTURA JORNALÍSTICA – ATUAÇÃO POLICIAL – DANOS – REPARAÇÃO – RECURSO EXTRAORDINÁRIO – ADEQUAÇÃO – REPERCUSSÃO GERAL CONFIGURADA. Possui repercussão geral controvérsia alusiva à responsabilidade civil do Estado em relação a profissional da imprensa ferido, em situação de tumulto, durante cobertura jornalística.",MARCO AURÉLIO,2019-09-26,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
RE 727851,"Não incide IPVA sobre veículo automotor adquirido, mediante alienação fiduciária, por pessoa jurídica de direito público.","IPVA – ALIENAÇÃO FIDUCIÁRIA – ADQUIRENTE – PESSOA JURÍDICA DE DIREITO PÚBLICO. Incide a imunidade prevista no artigo 150, inciso VI, alínea “a”, da Constituição Federal, em se tratando de contrato de alienação fiduciária em que pessoa jurídica de direito público surge como devedora.",MARCO AURÉLIO,2020-07-17,RECURSO EXTRAORDINÁRIO
RE 582525 RG,,EMENTA: CONSTITUCIONAL. TRIBUTÁRIO. CONTRIBUIÇÃO SOCIAL SOBRE O LUCRO E IMPOSTO SOBRE A RENDA. DEDUÇÃO DO VALOR EQUIVALENTE À CONTRIBUIÇÃO SOCIAL SOBRE O LUCRO DA BASE DE CÁLCULO DA CSLL E DO IRPJ. MANIFESTAÇÃO ENCAMINHADA PELA PRESENÇA DO REQUISITO DA REPERCUSSÃO GERAL.,JOAQUIM BARBOSA,2008-05-16,REPERCUSSÃO GERAL NO RECURSO EXTRAORDINÁRIO
RE 716378,"I - A qualificação de uma fundação instituída pelo Estado como sujeita ao regime público ou privado depende (i) do estatuto de sua criação ou autorização e (ii) das atividades por ela prestadas. As atividades de conteúdo econômico e as passíveis de delegação, quando definidas como objetos de dada fundação, ainda que essa seja instituída ou mantida pelo Poder público, podem-se submeter ao regime jurídico de direito privado. 
II - A estabilidade especial do art. 19 do ADCT não se estende aos empregados das fundações públicas de direito privado, aplicando-se tão somente aos servidores das pessoas jurídicas de direito público.","EMENTA



    Recurso extraordinário. Repercussão geral reconhecida. Direito do Trabalho. Direito Constitucional. Ação trabalhista. Demanda de servidor da Fundação Padre Anchieta – Centro Paulista de Rádio e TV Educativas - pelo reconhecimento de sua estabilidade no emprego em razão do disposto no art. 19 do Ato das Disposições Constitucionais Transitórias (ADCT). Discussão acerca do alcance da referida norma constitucional. Matéria passível de repetição em inúmeros processos, com repercussão na esfera de interesse de inúmeros trabalhadores. Reconhecida a inaplicabilidade do dispositivo constitucional aos empregados das fundações públicas de direito privado que não exerçam atividades típicas de Estado. Ausência de estabilidade calcada nesse fundamento constitucional. Recurso provido.



    1. O assunto corresponde ao Tema nº 545 da Gestão por Temas da Repercussão Geral do portal do STF na internet, cuja descrição é a seguinte: “recurso extraordinário com agravo em que se discute se empregados da Fundação Padre Anchieta - Centro Paulista de Rádio e TV Educativas têm direito à estabilidade excepcional de que trata o art. 19 do Ato das Disposições Constitucionais Transitórias - ADCT”. 



    2. Segundo a jurisprudência predominante na Corte Suprema, a aposentadoria espontânea somente dá causa à extinção do contrato de trabalho se ocorrer o encerramento da relação empregatícia. Nesse contexto, é constitucional o entendimento consagrado na Orientação Jurisprudencial nº 361, primeira parte, da SBDI-1 do Tribunal Superior do Trabalho. Esse entendimento, no entanto, não altera a questão fundamental posta no apelo extremo e que deu ensejo ao reconhecimento da repercussão geral.



    3. Segundo a jurisprudência da Corte, a qualificação de uma fundação instituída pelo Estado como sujeita ao regime público ou privado depende de dois fatores: i) do estatuto de sua criação ou autorização e ii) das atividades por ela prestadas. Não há na Constituição Federal o elenco das atividades que definiriam qual o regime jurídico a ser aplicado a uma determinada fundação pública. Entretanto, existem alguns pressupostos lógico-jurídicos que devem ser utilizados como critérios discriminadores. 



    4. Não pode a Administração Pública pretender que incida um regime jurídico de direito privado sobre uma entidade da administração indireta que exerça atividade constitucionalmente estatal – ainda que formalmente o tenha feito -, mais especificamente, um serviço público (lato sensu) que parte da doutrina denomina de serviço público próprio, seja porque essa atividade está definida na Constituição Federal como uma obrigação a ser executada diretamente (como são as atividades públicas de saúde, higiene e educação, v.g.), seja porque ela deve ser exercida com supremacia de poder, como é o caso do exercício do poder de polícia e da gestão da coisa pública. Essas atividades são essenciais, não podem ser terceirizadas, não podem ser delegadas a particulares e, portanto, devem se submeter a regras eminentemente publicísticas, o que afasta a possibilidade da incidência de um regime jurídico de direito privado sobre elas. 



    5. Por outro lado, as atividades de cunho econômico (respeitados os arts. 37, inciso XIX, e 173 da CF, esse com a redação dada pela EC nº 19/1998) e aquelas passíveis de delegação, porque também podem ser executadas por particulares, ainda que em parceria com o Estado, a toda evidência, se forem definidas como objetos de fundações, ainda que sejam essas instituídas ou mantidas pelo Poder Público, podem se submeter ao regime jurídico de direito privado caso as respectivas fundações também tenham sido instituídas como entes privados.



    6. O art. 19 do ADCT da Constituição de 1988 tem abrangência limitada aos servidores civis da União, dos estados, do Distrito Federal e dos municípios, entre os quais não se encontram os empregados de empresas públicas e sociedades de economia mista (ADI nº 112, Rel. Min. Néri da Silveira, julgamento em 24/8/1994, Plenário, DJ de 9/2/1996; ADI nº 1.808-MC, Rel. Min. Sydney Sanches, julgamento em 1º/2/1999, Plenário, DJ de 1º/6/2001; e RE nº 208.046, Rel. Min. Octavio Gallotti, julgamento em 3/2/1998, Primeira Turma, DJ de 24/4/1998). Em face do quadro delineado acima, o termo “fundações públicas” deve ser compreendido, segundo a jurisprudência da Corte, como fundações autárquicas sujeitas ao regime jurídico de direito público.



    7. A Fundação Padre Anchieta é enquadrada em outra categoria jurídica, submetida aos ditames do regime privado, com as derrogações do direito administrativo, de forma assemelhada à sujeição imposta às empresas estatais, em especial porque sua finalidade institucional é a promoção de atividades educativas e culturais por intermédio de rádio, televisão ou outras mídias. Portanto, como não incide o art. 19 do ADCT da Constituição de 1988 sobre os empregados das fundações públicas de direito privado, há que se reconhecer a legalidade da demissão sem justa causa. 



    8. Recurso extraordinário provido.",DIAS TOFFOLI,2020-06-30,RECURSO EXTRAORDINÁRIO
